State: [0, 0, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [1, 0, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [2, 0, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [3, 0, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [4, 0, 0, 0] OptimalAction: [0, 1, 3, 2]
State: [5, 0, 0, 0] OptimalAction: [0, 0, 3, 2]
State: [6, 0, 0, 0] OptimalAction: [0, 1, 1, 2]
State: [7, 0, 0, 0] OptimalAction: [0, 0, 1, 2]
State: [8, 0, 0, 0] OptimalAction: [0, 0, 1, 1]
State: [9, 0, 0, 0] OptimalAction: [0, 0, 1, 0]
State: [10, 0, 0, 0] OptimalAction: [0, 0, 0, 0]
State: [0, 1, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [1, 1, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [2, 1, 0, 0] OptimalAction: [0, 4, 1, 2]
State: [3, 1, 0, 0] OptimalAction: [0, 3, 1, 2]
State: [4, 1, 0, 0] OptimalAction: [0, 0, 3, 2]
State: [5, 1, 0, 0] OptimalAction: [0, 0, 3, 1]
State: [6, 1, 0, 0] OptimalAction: [0, 0, 1, 2]
State: [7, 1, 0, 0] OptimalAction: [0, 0, 1, 1]
State: [8, 1, 0, 0] OptimalAction: [0, 0, 1, 0]
State: [9, 1, 0, 0] OptimalAction: [0, 0, 0, 0]
State: [0, 2, 0, 0] OptimalAction: [0, 2, 3, 2]
State: [1, 2, 0, 0] OptimalAction: [0, 2, 3, 2]
State: [2, 2, 0, 0] OptimalAction: [0, 3, 1, 2]
State: [3, 2, 0, 0] OptimalAction: [0, 2, 1, 2]
State: [4, 2, 0, 0] OptimalAction: [0, 2, 1, 1]
State: [5, 2, 0, 0] OptimalAction: [0, 2, 1, 0]
State: [6, 2, 0, 0] OptimalAction: [0, 2, 0, 0]
State: [7, 2, 0, 0] OptimalAction: [0, 0, 1, 0]
State: [8, 2, 0, 0] OptimalAction: [0, 0, 0, 0]
State: [0, 3, 0, 0] OptimalAction: [0, 2, 3, 2]
State: [1, 3, 0, 0] OptimalAction: [0, 1, 3, 2]
State: [2, 3, 0, 0] OptimalAction: [0, 2, 1, 2]
State: [3, 3, 0, 0] OptimalAction: [0, 1, 1, 2]
State: [4, 3, 0, 0] OptimalAction: [0, 1, 1, 1]
State: [5, 3, 0, 0] OptimalAction: [0, 1, 1, 0]
State: [6, 3, 0, 0] OptimalAction: [0, 1, 0, 0]
State: [7, 3, 0, 0] OptimalAction: [0, 0, 0, 0]
State: [0, 4, 0, 0] OptimalAction: [0, 1, 3, 2]
State: [1, 4, 0, 0] OptimalAction: [0, 0, 3, 2]
State: [2, 4, 0, 0] OptimalAction: [0, 1, 1, 2]
State: [3, 4, 0, 0] OptimalAction: [0, 0, 1, 2]
State: [4, 4, 0, 0] OptimalAction: [0, 0, 1, 1]
State: [5, 4, 0, 0] OptimalAction: [0, 0, 1, 0]
State: [6, 4, 0, 0] OptimalAction: [0, 0, 0, 0]
State: [0, 5, 0, 0] OptimalAction: [0, 0, 3, 2]
State: [1, 5, 0, 0] OptimalAction: [0, 0, 3, 1]
State: [2, 5, 0, 0] OptimalAction: [0, 0, 1, 2]
State: [3, 5, 0, 0] OptimalAction: [0, 0, 1, 1]
State: [4, 5, 0, 0] OptimalAction: [0, 0, 1, 0]
