State: [0, 0, 0] OptimalAction: [2, 0, 2]
State: [1, 0, 0] OptimalAction: [1, 0, 3]
State: [2, 0, 0] OptimalAction: [0, 0, 4]
State: [3, 0, 0] OptimalAction: [1, 0, 2]
State: [4, 0, 0] OptimalAction: [0, 0, 2]
State: [5, 0, 0] OptimalAction: [0, 0, 1]
State: [6, 0, 0] OptimalAction: [0, 0, 0]
State: [0, 1, 0] OptimalAction: [2, 0, 2]
State: [1, 1, 0] OptimalAction: [1, 0, 3]
State: [2, 1, 0] OptimalAction: [0, 0, 3]
State: [3, 1, 0] OptimalAction: [0, 0, 2]
State: [4, 1, 0] OptimalAction: [0, 0, 1]
State: [5, 1, 0] OptimalAction: [0, 0, 0]
State: [0, 2, 0] OptimalAction: [2, 0, 2]
State: [1, 2, 0] OptimalAction: [1, 0, 2]
State: [2, 2, 0] OptimalAction: [0, 0, 2]
State: [3, 2, 0] OptimalAction: [0, 0, 1]
State: [4, 2, 0] OptimalAction: [0, 0, 0]
State: [0, 3, 0] OptimalAction: [1, 0, 2]
State: [1, 3, 0] OptimalAction: [0, 0, 2]
State: [2, 3, 0] OptimalAction: [0, 0, 1]
State: [3, 3, 0] OptimalAction: [0, 0, 0]
State: [0, 4, 0] OptimalAction: [0, 0, 2]
State: [1, 4, 0] OptimalAction: [0, 0, 1]
State: [2, 4, 0] OptimalAction: [0, 0, 0]
State: [0, 5, 0] OptimalAction: [0, 0, 1]
State: [1, 5, 0] OptimalAction: [0, 0, 0]
State: [0, 6, 0] OptimalAction: [0, 0, 0]
State: [0, 0, 1] OptimalAction: [2, 0, 2]
State: [1, 0, 1] OptimalAction: [0, 0, 4]
State: [2, 0, 1] OptimalAction: [0, 0, 3]
State: [3, 0, 1] OptimalAction: [1, 0, 1]
State: [4, 0, 1] OptimalAction: [0, 0, 1]
State: [5, 0, 1] OptimalAction: [0, 0, 0]
State: [0, 1, 1] OptimalAction: [0, 0, 4]
State: [1, 1, 1] OptimalAction: [1, 0, 2]
State: [2, 1, 1] OptimalAction: [0, 0, 2]
State: [3, 1, 1] OptimalAction: [0, 0, 1]
State: [4, 1, 1] OptimalAction: [0, 0, 0]
State: [0, 2, 1] OptimalAction: [2, 0, 1]
State: [1, 2, 1] OptimalAction: [1, 0, 1]
State: [2, 2, 1] OptimalAction: [0, 0, 1]
State: [3, 2, 1] OptimalAction: [0, 0, 0]
State: [0, 3, 1] OptimalAction: [1, 0, 1]
State: [1, 3, 1] OptimalAction: [0, 0, 1]
State: [2, 3, 1] OptimalAction: [0, 0, 0]
State: [0, 4, 1] OptimalAction: [0, 0, 1]
State: [1, 4, 1] OptimalAction: [0, 0, 0]
State: [0, 5, 1] OptimalAction: [0, 0, 0]
State: [0, 0, 2] OptimalAction: [1, 0, 3]
State: [1, 0, 2] OptimalAction: [0, 0, 3]
State: [2, 0, 2] OptimalAction: [0, 0, 2]
State: [3, 0, 2] OptimalAction: [1, 0, 0]
State: [4, 0, 2] OptimalAction: [0, 0, 0]
State: [0, 1, 2] OptimalAction: [0, 0, 3]
State: [1, 1, 2] OptimalAction: [1, 0, 1]
State: [2, 1, 2] OptimalAction: [0, 0, 1]
State: [3, 1, 2] OptimalAction: [0, 0, 0]
State: [0, 2, 2] OptimalAction: [2, 0, 0]
State: [1, 2, 2] OptimalAction: [1, 0, 0]
State: [2, 2, 2] OptimalAction: [0, 0, 0]
State: [0, 3, 2] OptimalAction: [1, 0, 0]
State: [1, 3, 2] OptimalAction: [0, 0, 0]
State: [0, 4, 2] OptimalAction: [0, 0, 0]
State: [0, 0, 3] OptimalAction: [1, 0, 2]
State: [1, 0, 3] OptimalAction: [0, 0, 2]
State: [2, 0, 3] OptimalAction: [0, 0, 1]
State: [3, 0, 3] OptimalAction: [0, 0, 0]
State: [0, 1, 3] OptimalAction: [0, 0, 2]
State: [1, 1, 3] OptimalAction: [1, 0, 0]
State: [2, 1, 3] OptimalAction: [0, 0, 0]
State: [0, 2, 3] OptimalAction: [1, 0, 0]
State: [1, 2, 3] OptimalAction: [0, 0, 0]
State: [0, 3, 3] OptimalAction: [0, 0, 0]
State: [0, 0, 4] OptimalAction: [1, 0, 1]
State: [1, 0, 4] OptimalAction: [0, 0, 1]
State: [2, 0, 4] OptimalAction: [0, 0, 0]
State: [0, 1, 4] OptimalAction: [0, 0, 1]
State: [1, 1, 4] OptimalAction: [0, 0, 0]
State: [0, 2, 4] OptimalAction: [0, 0, 0]
State: [0, 0, 5] OptimalAction: [1, 0, 0]
State: [1, 0, 5] OptimalAction: [0, 0, 0]
State: [0, 1, 5] OptimalAction: [0, 0, 0]
State: [0, 0, 6] OptimalAction: [0, 0, 0]
